gene_id	ERR188245	ERR188428	ERR188337	ERR188401	ERR188257	ERR188383	ERR204916	ERR188234	ERR188273	ERR188454	ERR188104	ERR188044
NM_003828|MTMR1	1	1	5	5	4	7	3	54	48	3	2	9
NR_132647|AIFM1	25	9	112	112	224	73	58	44	28	46	41	72
NM_001000|RPL39	10791	9475	14452	14452	10452	12646	12554	17454	8061	11065	12218	11960
NM_001166550|IDS	216	3671	958	958	356	874	883	767	279	707	5734	6198
NM_001282302|TMEM185A	32	38	93	93	11	32	41	32	12	51	51	35
NM_007157|ZXDB	434	398	586	586	589	598	714	794	330	822	856	759
NM_004726|REPS2	19	3	22	22	18	22	12	12	8	13	10	23
NM_013427|ARHGAP6	518	545	705	705	587	383	605	502	302	481	758	489
NR_030722|FAM104B	16	16	40	40	15	34	27	15	9	13	21	15
NM_001184819|GNL3L	4065	1212	2607	2607	3879	2014	1982	3336	1076	1852	2998	3981
NM_001171907|CXorf40A	318	313	587	587	390	294	369	637	138	418	371	354
NM_021140|KDM6A	215	365	1075	1075	384	794	539	1063	421	529	603	472
NM_001164803|RBMX	1741	1846	3001	3001	2607	2527	1698	2629	903	2196	3224	2206
NM_000206|IL2RG	12830	8986	17162	17162	11109	11904	15690	18210	8613	15121	17105	19105
NM_019067|GNL3L	807	997	1091	1091	1137	368	462	1316	1001	874	746	1004
NM_017602|OTUD5	284	121	401	401	537	255	868	693	131	342	636	476
NR_029637|MIR223	1	3	2	2	1	4	5	15	1	1	4	3
NM_001135998|NDUFB11	2170	1412	2877	2877	2052	2180	2749	3308	1105	2430	2064	2235
NM_006667|PGRMC1	1466	1516	2400	2400	2089	2240	1936	2112	876	2001	2138	1764
NM_016607|ARMCX3	1234	841	1255	1255	1144	1360	1409	1225	441	1634	951	1685
NM_001010888|ZC3H12B	38	40	110	110	51	48	62	55	14	42	97	56
NM_001145409|NONO	3101	2227	2972	2972	1697	3563	2607	4926	972	1317	3256	2852
NM_000132|F8	9	25	51	51	19	15	7	22	23	2	17	20
NM_152581|MOSPD2	349	508	1178	1178	601	703	769	462	288	818	1031	950
NM_014563|TRAPPC2	37	30	36	36	25	19	32	158	42	35	43	66
NM_024863|TCEAL4	149	79	214	214	113	1	1	116	1	105	117	74
NR_027139|SPIN3	97	87	201	201	138	44	114	173	56	141	205	116
NM_001136273|ZFP92	13	36	17	17	31	43	29	27	4	37	31	24
NM_005120|MED12	2189	2932	5072	5072	2837	2556	3636	5031	2139	2998	4638	6078
NM_004979|KCND1	55	40	79	79	67	70	85	128	66	69	139	160
NM_003688|CASK	365	205	160	160	152	74	44	73	3	693	174	123
NM_207318|FAM199X	1371	1630	2944	2944	2066	2334	2340	2447	1125	2723	3570	2691
NM_000328|RPGR	224	336	419	419	366	291	361	260	128	442	520	210
NM_001363|DKC1	5168	1651	1076	1076	6778	2389	837	8752	3038	5341	6562	6348
NM_181673|OGT	824	621	2320	2320	1405	1450	1466	3896	2116	2131	2239	1882
NR_028443|SLC25A5-AS1	74	56	193	193	109	111	72	115	29	79	87	97
NM_001129900|KRBOX4	157	92	183	183	121	119	155	115	37	109	154	232
NM_003173|SUV39H1	1378	1215	1649	1649	1299	1360	1513	2591	909	1263	1772	2088
NM_001039840|CHIC1	520	568	1046	1046	565	575	539	630	324	1052	928	934
NM_032926|TCEAL3	647	335	1127	1127	776	685	691	411	333	808	663	545
NM_017544|NKRF	1072	1419	2219	2219	1695	1829	1405	2310	964	1921	2070	2038
NM_001303624|RPL10	17899	5774	3586	3586	6307	4640	4487	33470	6742	22115	1528	4319
NM_016542|STK26	3693	4158	8170	8170	5394	4983	6785	2020	1162	3899	3052	3536
NM_003399|XPNPEP2	79	57	123	123	39	23	86	45	14	20	35	101
NM_001008222|ZDHHC9	4	55	50	50	23	21	12	135	105	16	82	67
NM_001012755|SLC25A53	171	298	680	680	362	322	214	493	106	234	313	445
NM_014599|MAGED2	256	632	1031	1031	1151	859	894	1245	459	866	709	1142
NM_024528|NKAP	1096	725	1432	1432	1264	1328	1236	949	416	1308	1318	974
NM_001006640|TCEAL1	131	128	199	199	120	129	134	177	95	51	130	241
NM_031892|SH3KBP1	6941	9470	18541	18541	11085	13460	17292	15144	5572	17749	18035	19331
NM_001164741|ARHGAP4	11	148	1161	1161	491	12	864	395	15	437	542	933
NM_001666|ARHGAP4	3536	1748	6023	6023	4603	3921	4205	3604	1545	4315	2372	2905
NM_145052|UPRT	390	360	556	556	799	738	821	720	341	890	879	659
NR_024048|TAZ	104	107	304	304	67	103	198	113	50	28	139	119
NM_005840|SPRY3	17	22	52	52	27	16	28	38	12	36	39	76
NM_001306144|MTMR1	1948	2087	3601	3601	2485	2718	2778	3572	1422	3065	3192	3435
NM_030763|HMGN5	671	1632	1195	1195	1724	1707	1285	1394	770	1548	1431	1153
NM_018301|RBM41	169	261	610	610	347	263	373	345	134	380	705	623
NR_110021|DKC1	431	1626	1116	1116	14	179	602	393	116	86	143	13
NM_014496|RPS6KA6	42	125	120	120	85	73	54	410	16	9	358	290
NM_032335|PHF6	19	45	68	68	36	43	42	43	40	86	72	77
NR_033380|CD99P1	25	17	52	52	38	12	23	42	5	41	79	48
NM_181762|UBE2A	77	65	709	709	103	194	158	255	100	168	136	66
NM_004794|RAB33A	892	594	926	926	761	1111	1281	1682	793	1295	1321	1193
NR_110023|DKC1	6	2346	1874	1874	585	203	45	285	6	391	586	396
NM_007250|KLF8	151	281	785	785	449	411	510	498	418	229	518	989
NM_000390|CHM	678	945	1491	1491	878	1165	1762	1385	618	1059	1512	1366
NM_004595|SMS	5701	4583	8072	8072	5785	5715	4865	7910	2771	5048	8815	6432
NM_019045|WDR44	695	633	1250	1250	1109	1003	1046	1086	596	1350	1332	1433
NM_001301228|HMGB3	474	263	522	522	464	790	273	975	165	499	632	814
NM_000351|STS	876	2289	1135	1135	1368	1404	2978	3639	1315	1783	3344	1841
NM_001142421|MORF4L2	159	192	242	242	363	530	213	420	140	458	223	305
NM_001456|FLNA	14754	11221	36732	36732	20556	13410	16491	9498	5947	18004	15634	27504
NM_005391|PDK3	162	205	370	370	395	240	371	202	101	212	216	175
NM_001560|IL13RA1	78	77	63	63	77	45	156	163	257	54	224	122
NM_014008|CCDC22	1222	884	1751	1751	1318	1106	1650	2269	799	1192	1365	1770
NM_001569|IRAK1	4120	2765	6422	6422	4950	4970	4047	7252	2633	7177	3481	5466
NM_007220|CA5B	178	189	199	199	164	206	203	348	129	230	345	254
NM_002637|PHKA1	24	70	126	126	59	30	78	112	78	57	76	195
NM_017669|ERCC6L	609	940	1326	1326	1008	1131	1030	1060	508	1085	1523	1236
NM_001032382|PQBP1	932	995	1572	1572	1226	936	893	2138	661	1079	993	1866
NM_022825|PORCN	199	239	171	171	199	168	161	321	170	129	202	162
NM_001130997|FAM58A	259	128	378	378	373	322	208	367	31	272	186	254
NM_014481|APEX2	2301	1952	3379	3379	2105	2133	2388	3857	1520	1978	2860	3244
NM_001170781|FAM122C	81	77	134	134	98	67	73	136	38	105	126	117
NM_006044|HDAC6	1756	1982	3444	3444	2126	2088	2417	3522	1222	2555	2604	2999
NM_001142386|PDK3	3985	3947	7217	7217	4078	4974	6719	4616	2025	3885	8176	6404
NM_001166420|HDAC8	27	18	42	42	26	31	15	41	6	34	40	35
NM_206923|YY2	79	57	207	207	125	94	81	107	60	156	141	145
NM_194324|TMSB15B	101	116	273	273	130	156	181	156	51	67	130	330
NM_001042479|GEMIN8	902	857	945	945	682	738	736	1097	297	607	837	665
NM_014061|MAGEH1	881	532	1079	1079	767	813	644	1021	369	944	710	795
NM_080817|GPR82	32	36	152	152	125	82	15	112	47	29	46	200
NM_001145951|TIMM8A	26	24	57	57	45	39	57	61	32	38	59	35
NM_014060|MCTS1	2094	1991	4316	4316	2983	2649	2432	3807	1029	2931	3730	2121
NM_021242|MID1IP1	4991	3576	4333	4333	4476	3550	1412	999	911	3302	3147	886
NR_024582|JPX	118	129	108	108	64	106	129	191	66	77	133	63
NM_001006935|TCEAL4	900	953	1850	1850	1329	1245	1279	1734	627	1218	1756	1731
NM_145800|SEPT6	179	392	662	662	744	488	751	816	582	734	548	411
NM_023010|UPF3B	1015	1299	2055	2055	1666	1684	1614	1175	564	1639	1748	1512
NM_177948|ARMCX3	56	3	9	9	2	82	129	170	87	44	56	38
NM_001282142|TFE3	505	237	696	696	391	309	456	693	534	770	443	945
NM_001042537|SLC9A6	809	1184	2035	2035	647	1462	527	521	723	985	1840	1622
NM_198279|CXorf23	261	315	533	533	414	350	386	428	177	470	743	495
NM_002436|MPP1	1135	1271	2038	2038	1298	1097	1366	1745	468	514	1271	1018
NM_001282201|ZNF630	77	25	90	90	96	81	114	154	48	161	102	175
NM_024917|TRMT2B	35	514	313	313	302	293	708	932	302	615	361	761
NM_001143978|ZCCHC18	11	52	44	44	23	31	26	48	19	28	27	23
NR_111960|KDM6A	203	320	14	14	180	167	362	310	216	379	340	249
NM_030624|KLHL15	550	967	1331	1331	947	1166	1318	1180	556	1119	1758	1696
NM_004493|HSD17B10	3174	2196	5844	5844	3774	2844	3526	5409	1841	2928	3504	4552
NM_001136157|OTUD5	2472	1694	3012	3012	650	2035	1032	723	1257	1818	701	560
NM_006280|SSR4	7746	3129	6612	6612	5800	6317	6142	6888	1287	9617	4263	5633
NM_006730|DNASE1L1	217	10	202	202	154	116	235	331	11	27	138	213
NM_001258423|SMS	459	172	624	624	558	893	472	281	87	337	236	209
NM_001142424|MORF4L2	1159	1010	1710	1710	986	1048	1253	1530	354	1200	1555	863
NM_007131|ZNF75D	334	470	640	640	545	585	532	659	247	740	661	809
NM_002765|PRPS2	3245	1815	5839	5839	4019	4243	4855	3821	1610	3950	5970	3881
NM_002970|SAT1	3064	2492	3501	3501	2525	3988	3209	5138	1460	4423	3135	3330
NM_033018|CDK16	1174	851	1924	1924	263	881	555	1629	631	963	32	1109
NM_001142426|MORF4L2	131	65	264	264	213	109	217	151	49	139	285	126
NM_000402|G6PD	2353	1251	3277	3277	2383	1869	1359	3512	882	1442	1556	2681
NM_000381|MID1	22	12	20	20	4	12	53	23	12	6	54	25
NM_019848|SLC10A3	507	502	640	640	669	752	547	1005	335	738	526	1036
NM_001171908|CXorf40A	48	71	182	182	47	289	140	64	71	130	118	137
NM_004840|ARHGEF6	1573	2379	3203	3203	2434	2473	2269	3466	1442	1326	2907	4029
NM_001008537|KIAA2022	68	177	327	327	177	271	146	512	442	133	218	656
NM_001291416|KDM6A	583	842	749	749	694	598	960	917	514	557	668	618
NR_034031|LOC389906	556	410	523	523	387	439	524	610	222	309	240	554
NM_004344|CETN2	837	814	1403	1403	977	1100	944	1039	438	1075	1086	975
NM_001146702|KDM5C	283	205	325	325	144	107	363	1866	223	181	195	738
NM_017514|PLXNA3	646	482	1018	1018	878	862	439	616	350	789	519	694
NR_003255|TSIX	1374	800	20	20	30	23	1277	4531	392	46	15	50
NM_002668|PLP2	2313	2948	3723	3723	2927	3853	4602	6207	2017	4900	4056	5472
NM_006013|RPL10	1065	7480	11865	11865	9660	9853	11999	6569	2035	6359	12284	20922
NM_001167989|PQBP1	41	136	208	208	159	35	49	65	99	30	32	212
NR_000011|SNORA70	127	105	195	195	129	98	110	245	79	150	165	178
NM_024921|POF1B	14	4	61	61	126	74	90	82	26	276	65	58
NM_012084|GLUD2	145	214	352	352	217	222	388	396	166	346	396	528
NM_017681|NUP62CL	8	18	41	41	22	56	29	51	22	79	48	41
NM_003022|SH3BGRL	6199	6606	9789	9789	7406	8657	7506	8551	4054	9691	10446	10946
NR_027455|LINC00893	16	39	117	117	26	20	71	67	14	27	79	70
NM_013347|RPA4	2	8	7	7	9	8	2	16	5	5	7	7
NM_001204467|RBM10	1407	1154	2465	2465	1976	1508	1736	2848	1190	2232	1425	1562
NM_001009932|DNASE1L1	146	74	319	319	136	321	200	339	113	444	176	497
NM_001032393|HNRNPH2	161	461	781	781	704	1135	542	724	139	367	821	836
NM_001139457|BCAP31	1963	281	3110	3110	2073	1523	1339	686	322	1871	570	1323
NM_002186|IL9R	30	47	68	68	59	47	95	82	130	74	221	405
NM_001039590|USP9X	953	1265	1674	1674	978	2076	2270	1587	1218	933	2568	1473
NM_001078172|FAM127B	252	218	323	323	227	236	254	321	139	217	344	343
NM_017413|APLN	102	53	201	201	35	128	225	85	26	48	277	146
NM_001448|GPC4	225	351	723	723	405	608	1189	2365	12	25	692	2127
NM_004018|DMD	194	379	1671	1671	912	517	965	451	178	535	886	586
NR_027456|LINC00894	6	28	108	108	38	31	41	57	19	54	115	56
NM_001421|ELF4	1655	3886	2277	2277	1377	2023	2680	2337	1447	2548	2575	4622
NM_006733|CENPI	487	635	1149	1149	804	917	916	868	428	863	1204	1096
NR_045560|UXT	6	1	3	3	3	2	4	3	1	2	7	6
NM_005660|SLC35A2	71	69	148	148	152	40	78	226	89	112	82	184
NM_003492|TMEM187	221	97	178	178	172	140	133	138	59	191	109	205
NM_006123|IDS	173	127	241	241	138	134	234	191	56	167	128	269
NM_022838|ARMCX5	441	239	307	307	224	357	271	268	29	276	422	344
NM_012280|FTSJ1	1758	1331	2243	2243	2027	1902	1968	2134	716	2322	1397	1961
NM_016303|WBP5	120	75	362	362	243	335	595	239	82	473	468	252
NM_080879|RAB40A	18	14	41	41	12	10	21	28	7	12	33	24
NM_007075|WDR45	7	16	26	26	5	11	12	46	23	23	12	28
NM_001136159|OTUD5	16	26	20	20	32	32	21	795	17	143	566	548
NM_004192|ASMTL	3770	1527	3261	3261	1657	1711	2861	3261	1104	1285	1580	3885
NM_019597|HNRNPH2	3200	3518	6017	6017	4550	3809	2997	4127	1617	3538	4624	4489
NM_025159|CXorf21	1005	3015	1923	1923	2302	2537	2139	4911	1158	2389	2770	2609
NM_004015|DMD	185	536	985	985	923	529	639	308	244	286	1191	668
NM_000033|ABCD1	444	201	451	451	369	285	281	317	174	321	184	429
NM_014500|HTATSF1	2032	2589	3402	3402	3571	3249	2300	3117	1063	2659	3730	3098
NM_005938|FOXO4	295	475	493	493	319	481	444	875	281	567	391	628
NM_001015881|TSC22D3	2	2	73	73	5	75	3	88	3	7	1	1
NM_001168385|ALG13	183	100	125	125	264	102	90	137	49	51	147	157
NM_004992|MECP2	1275	1765	2307	2307	1639	1952	2333	3007	1407	2317	2439	3569
NM_001184797|TMLHE	1	85	65	65	38	62	76	76	35	40	79	36
NR_026551|CA5BP1	212	225	262	262	227	150	217	452	215	294	206	295
NM_174869|IDH3G	465	245	1150	1150	728	208	448	871	148	436	452	474
NM_004458|ACSL4	4565	6945	12232	12232	7713	8383	6823	6328	3435	9494	7661	7572
NM_015185|ARHGEF9	242	962	1905	1905	1199	196	1446	1738	790	936	1927	1743
NM_001171876|MCF2	12	4	18	18	21	11	5	7	9	30	48	38
NM_153252|BRWD3	1141	1751	2977	2977	1462	1758	2172	2210	1167	2046	3293	2705
NM_004606|TAF1	812	2892	3456	3456	2560	1366	3009	3439	2008	1833	3425	5230
NM_170750|PSMD10	151	91	96	96	194	142	317	213	145	257	245	261
NM_001032383|PQBP1	442	191	417	417	296	294	236	441	142	320	395	357
NM_032458|PHF6	826	817	1477	1477	1598	1062	1291	1117	1206	902	1744	1688
NM_006125|ARHGAP6	42	23	120	120	116	72	120	56	28	107	167	124
NM_001018055|BRCC3	738	979	1914	1914	896	1483	1272	861	774	1288	1607	1466
NM_012227|GTPBP6	1950	1126	3644	3644	2871	2422	2790	2712	617	2326	1445	2284
NM_058163|TSR2	1724	1771	2710	2710	2324	1951	1895	3555	1088	2067	2164	3083
NM_206917|NGFRAP1	70	32	382	382	81	116	433	309	36	136	137	152
NM_001015877|PHF6	1205	2808	2983	2983	2352	3169	3432	3693	1666	3278	4658	4233
NR_029379|PHKA2-AS1	18	18	56	56	21	16	10	48	10	35	23	25
NM_033215|PPP1R3F	173	101	209	209	189	179	139	115	54	187	159	148
NR_027141|FAM45BP	373	345	663	663	521	596	475	645	412	791	668	672
NM_001654|ARAF	3049	1855	3774	3774	2634	2187	2745	3660	1402	2428	2385	3795
NM_012286|MORF4L2	1316	1102	2316	2316	1738	1711	1422	1865	678	1616	2214	1451
NR_110456|KANTR	43	58	74	74	61	37	89	76	27	54	76	93
NM_014380|NGFRAP1	9	1	27	27	6	2	31	4	1	10	16	2
NM_001271696|ABCB7	273	904	1653	1653	816	1176	1134	927	510	885	1492	1284
NM_005333|HCCS	1021	989	1999	1999	1319	1430	1269	1438	389	1339	1493	1676
NM_001018025|MTCP1	24	24	98	98	32	40	53	59	82	104	56	46
NM_001242617|NXT2	292	512	1279	1279	665	1077	708	641	306	580	813	772
NM_145799|SEPT6	18727	22677	18581	18581	11543	16367	21513	49308	14474	17643	24964	24519
NM_078628|MSL3	1739	2425	2333	2333	1305	1375	2039	2329	567	2506	1977	1213
NM_001306145|MTMR1	35	42	91	91	102	55	11	7	2	11	63	5
NM_021029|RPL36A	6641	5935	9336	9336	6072	10034	9751	12073	4551	9006	7394	7144
NR_033381|CD99P1	79	79	123	123	51	78	195	186	41	139	226	271
NM_001307944|UPRT	212	174	388	388	216	204	227	259	88	8	205	275
NM_001168465|MAP7D2	111	442	990	990	523	527	2104	899	90	712	1655	497
NM_015365|AMMECR1	940	963	1391	1391	1170	1392	804	1117	647	1189	1355	1432
NM_005765|ATP6AP2	2937	2729	5725	5725	4356	4338	3853	4124	1926	5216	5127	6179
NM_001288747|DKC1	887	109	3471	3471	231	2898	2981	319	92	282	597	195
NM_005834|TIMM17B	1402	952	2144	2144	1408	1200	1446	2318	754	1485	1074	1792
NM_007156|ZXDA	150	146	240	240	169	202	273	270	119	328	349	284
NM_201286|USP51	85	179	309	309	180	162	123	164	48	96	187	172
NM_015698|GPKOW	1102	887	2190	2190	1232	1245	1244	1729	592	1186	1501	1658
NM_004867|ITM2A	4055	1459	3123	3123	1705	2944	2121	3644	1007	6289	2752	3568
NM_021783|EDA2R	570	196	1595	1595	726	181	620	654	2	402	625	624
NR_026545|APOO	132	53	158	158	87	96	43	50	17	85	130	93
NM_004019|DMD	10	13	43	43	25	17	45	5	5	6	18	7
NM_001006937|TCEAL4	242	190	457	457	375	358	264	288	130	161	399	285
NM_005044|PRKX	2278	3361	2964	2964	1934	2946	4097	5018	1704	3031	2920	2886
NM_006777|ZBTB33	1813	2074	3563	3563	1766	2326	1832	1767	1365	2639	2893	2315
NM_021963|NAP1L2	65	108	191	191	255	151	233	242	130	141	244	437
NM_006800|MSL3	1117	2578	1403	1403	924	1062	1352	2076	342	948	1576	740
NR_027131|NKAPP1	65	75	134	134	97	83	69	106	43	94	70	97
NM_004541|NDUFA1	3573	2458	5019	5019	3706	4424	4281	5996	2208	5006	4630	5201
NM_001037540|SCML1	4	11	20	20	3	13	11	11	17	46	52	21
